iteration,loc_LB,loc_UB,glob_LB,glob_UB,repeated_services,missed_services 
25,16832.5,31665.631999999998,16832.5,31665.631999999998,4;58;,1;3;5;8;12;13;14;15;16;18;19;20;21;22;23;24;25;26;29;31;34;35;37;38;39;42;44;47;48;49;50;51;52;53;55;56;59;61;62;64;65;66;67;68;69;70;71;72;73;74;75;77;78;79;80;83;84;87;88;91;92;94;95;98;
26,16899.868000000002,31665.631999999998,16899.868000000002,31665.631999999998,4;58;,1;3;5;8;12;13;14;15;16;18;19;20;21;22;23;24;25;26;29;31;34;35;37;38;39;42;44;47;48;49;50;51;52;53;55;56;59;61;62;64;65;66;67;68;69;70;71;72;73;74;75;77;78;79;80;83;84;87;88;91;92;94;95;98;
27,16962.612,33321.056,16962.612,31665.631999999998,4;,1;3;5;8;10;12;13;14;15;16;18;19;20;21;22;23;24;25;26;29;30;31;34;35;37;38;39;42;44;46;47;48;49;50;51;52;53;55;56;59;61;62;64;65;66;67;68;69;70;71;72;73;74;75;77;78;79;80;81;82;83;84;85;87;88;90;91;92;94;95;97;98;
28,17031.2,32947.691999999995,17031.2,31665.631999999998,,1;3;5;6;8;12;13;14;15;16;18;19;20;21;22;23;24;26;29;30;32;33;34;35;36;37;38;39;41;42;43;44;47;48;50;51;52;53;55;56;59;60;61;62;63;64;65;66;67;68;69;70;71;73;74;77;78;79;80;83;84;86;87;88;89;91;92;93;94;95;99;
29,17094.5,30820.647999999997,17094.5,30820.647999999997,4;17;54;57;58;,1;3;5;8;12;13;14;15;16;18;19;20;21;22;23;25;26;29;31;34;35;37;38;39;42;44;47;48;49;50;51;52;53;56;59;61;62;64;65;66;67;68;69;70;71;72;73;74;75;77;78;83;88;91;92;94;95;98;
30,17155.844,31349.724,17155.844,30820.647999999997,4;58;,1;3;5;6;8;12;13;14;15;16;18;19;20;21;22;23;24;26;29;30;32;34;35;37;38;39;42;44;47;48;50;51;52;53;55;56;59;60;61;62;64;65;66;67;68;69;70;71;73;74;77;78;79;80;83;84;87;88;89;91;92;94;95;
31,17214.896,29634.336000000007,17214.896,29634.336000000007,4;17;54;57;58;76;96;,1;3;5;8;12;13;14;15;16;19;20;21;22;23;26;29;34;35;37;38;39;42;44;47;48;50;51;52;53;56;59;61;62;64;65;66;67;68;69;70;71;73;74;77;78;83;88;91;92;94;95;
32,17263.256,33038.115999999995,17263.256,29634.336000000007,,1;2;3;5;8;9;11;12;13;14;15;16;19;20;21;22;23;25;26;27;28;29;31;33;34;35;36;37;38;39;40;41;42;43;44;47;48;49;50;51;52;53;56;59;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;77;78;83;86;88;91;92;93;94;95;98;99;
33,17324.256,31289.76,17324.256,29634.336000000007,17;54;57;58;76;96;,1;3;5;8;10;12;13;14;15;16;19;20;21;22;23;26;29;30;34;35;37;38;39;42;44;46;47;48;50;51;52;53;56;59;61;62;64;65;66;67;68;69;70;71;73;74;77;78;81;82;83;85;88;90;91;92;94;95;97;
34,17378.311999999998,31349.723999999995,17378.311999999998,29634.336000000007,4;58;,1;3;5;6;8;12;13;14;15;16;18;19;20;21;22;23;24;26;29;30;32;34;35;37;38;39;42;44;47;48;50;51;52;53;55;56;59;60;61;62;64;65;66;67;68;69;70;71;73;74;77;78;79;80;83;84;87;88;89;91;92;94;95;
35,17438.095999999998,30043.084000000006,17438.095999999998,29634.336000000007,4;7;17;45;54;57;58;76;96;,1;3;5;8;12;13;14;15;16;19;20;21;22;23;26;29;30;34;35;37;38;39;42;44;47;48;50;51;52;53;56;59;61;62;64;65;66;67;68;69;70;71;73;74;77;78;83;88;91;92;94;95;
36,17490.588,31440.147999999997,17490.588,29634.336000000007,4;58;,1;2;3;5;8;9;11;12;13;14;15;16;19;20;21;22;23;25;26;27;28;29;31;34;35;37;38;39;40;42;44;47;48;49;50;51;52;53;56;59;61;62;64;65;66;67;68;69;70;71;72;73;74;75;77;78;83;88;91;92;94;95;98;
37,17548.212,31247.372000000003,17548.212,29634.336000000007,4;7;11;17;27;28;45;54;57;58;76;96;,1;3;5;8;12;13;14;15;16;19;20;21;22;23;26;30;33;34;35;37;38;39;41;42;43;44;47;48;50;51;52;53;56;59;61;62;64;65;66;67;68;69;70;71;73;74;77;78;83;86;88;91;92;94;95;
38,17596,31740.976,17596,29634.336000000007,4;58;,1;3;5;6;7;8;12;13;14;15;16;18;19;20;21;22;23;24;26;29;32;34;35;37;38;39;42;44;45;47;48;50;51;52;53;55;56;59;60;61;62;64;65;66;67;68;69;70;71;73;74;77;78;79;80;83;84;87;88;89;91;92;94;95;
39,17652.384,33846.864,17652.384,29634.336000000007,7;45;,1;2;3;5;8;9;11;12;13;14;15;16;19;20;21;22;23;25;26;27;28;29;30;31;33;34;35;36;37;38;39;40;41;42;43;44;47;48;49;50;51;52;53;56;58;59;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;77;78;83;86;88;91;92;93;94;95;98;99;
40,17713.876,31315.352,17713.876,29634.336000000007,17;54;57;58;76;96;,1;2;3;5;8;10;12;13;14;15;16;19;20;21;22;23;26;30;34;35;37;38;39;42;44;46;47;48;50;51;52;53;56;59;61;62;64;65;66;67;68;69;70;71;73;74;77;78;81;82;83;85;88;90;91;92;94;95;97;
41,17769.564,29634.336000000003,17769.564,29634.336000000003,4;17;54;57;58;76;96;,1;3;5;8;12;13;14;15;16;19;20;21;22;23;26;29;34;35;37;38;39;42;44;47;48;50;51;52;53;56;59;61;62;64;65;66;67;68;69;70;71;73;74;77;78;83;88;91;92;94;95;
42,17820.712,33011.727999999996,17820.712,29634.336000000003,4;,1;2;3;5;6;8;12;13;14;15;16;18;19;20;21;22;23;24;25;26;30;31;32;34;35;37;38;39;42;44;47;48;49;50;51;52;53;55;56;59;60;61;62;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;83;84;87;88;89;91;92;94;95;96;98;
43,17886.216,29634.336000000003,17886.216,29634.336000000003,4;17;54;57;58;76;96;,1;3;5;8;12;13;14;15;16;19;20;21;22;23;26;29;34;35;37;38;39;42;44;47;48;50;51;52;53;56;59;61;62;64;65;66;67;68;69;70;71;73;74;77;78;83;88;91;92;94;95;
44,17935.356,31016.771999999997,17935.356,29634.336000000003,4;7;45;58;76;96;,1;2;3;5;8;9;12;13;14;15;16;19;20;21;22;23;26;30;33;34;35;37;38;39;40;41;42;43;44;47;48;50;51;52;53;56;59;61;62;64;65;66;67;68;69;70;71;73;74;77;78;83;86;88;91;92;94;95;
45,17988.564,31490.003999999997,17988.564,29634.336000000003,4;58;,1;2;3;5;6;8;9;11;12;13;14;15;16;18;19;20;21;22;23;26;27;28;29;30;32;34;35;37;39;42;44;47;48;50;51;52;53;55;56;59;60;61;62;64;65;66;67;68;69;70;71;73;74;77;78;81;83;87;88;89;91;92;94;
